"3taps code","default?",,"city","state","loc_1","location 1","url","loc_2","location_2",,"Display City State","Display State",,"lat-long"
"GAZ",,,"US","georgia","nwga","northwest GA","nwga.craigslist.org",,,,"Northwest GA","Georgia",,"(35.04563, -85.30968)"
"SAV","default",,"US","georgia","savannah","savannah / hinesville","savannah.craigslist.org",,,,"Savannah/Hinesville GA","Georgia",,"(32.083541, -81.099834)"
"SAV",,,"US","georgia","statesboro","statesboro","statesboro.craigslist.org",,,,"Statesboro GA","Georgia",,"(32.448788, -81.783167)"
"GAZ",,,"US","georgia","valdosta","valdosta","valdosta.craigslist.org",,,,"Valdosta GA","Georgia",,"(30.832702, -83.278485)"
"HNL",,,"US","hawaii","honolulu","hawaii","honolulu.craigslist.org","big","big island",,"Big Island HI","Hawaii",,"(19.896766, -155.582782)"
"HNL",,,"US","hawaii","honolulu","hawaii","honolulu.craigslist.org","kau","kauai",,"Kauai HI","Hawaii",,"(19.896766, -155.582782)"
"HNL",,,"US","hawaii","honolulu","hawaii","honolulu.craigslist.org","mau","maui",,"Maui HI","Hawaii",,"(19.896766, -155.582782)"
"HNL",,,"US","hawaii","honolulu","hawaii","honolulu.craigslist.org","mol","molokai",,"Molokai HI","Hawaii",,"(19.896766, -155.582782)"
"HNL",,,"US","hawaii","honolulu","hawaii","honolulu.craigslist.org","oah","oahu",,"Oahu HI","Hawaii",,"(19.896766, -155.582782)"
"BOI",,,"US","idaho","boise","boise","boise.craigslist.org",,,,"Boise ID","Idaho",,"(43.612631, -116.211076)"
"IDA",,,"US","idaho","eastidaho","east idaho","eastidaho.craigslist.org",,,,"East ID","Idaho",,"(42.871303, -112.445534)"
"IDZ",,,"US","idaho","lewiston","lewiston / clarkston","lewiston.craigslist.org",,,,"Lewiston/Clarkston ID","Idaho",,"(46.400409, -117.001189)"
"IDZ",,,"US","idaho","twinfalls","twin falls","twinfalls.craigslist.org",,,,"Twin Falls ID","Idaho",,"(42.562967, -114.460871)"
"BMI",,,"US","illinois","bn","bloomington-normal","bn.craigslist.org",,,,"Bloomington-Normal IL","Illinois",,"(40.484203, -88.993687)"
"ILZ",,,"US","illinois","carbondale","southern illinois","carbondale.craigslist.org",,,,"Southern IL","Illinois",,"(37.727273, -89.21675)"
"CMI",,,"US","illinois","chambana","champaign urbana","chambana.craigslist.org",,,,"Champaign Urbana IL","Illinois",,"(40.11642, -88.243383)"
"CHI","default",,"US","illinois","chicago","chicago","chicago.craigslist.org","chc","city of chicago",,"Chicago IL","Illinois",,"(41.878114, -87.629798)"
"CHI","default",,"US","illinois","chicago","chicago","chicago.craigslist.org","nch","north chicagoland",,"Chicago IL","Illinois",,"(41.878114, -87.629798)"
"CHI","default",,"US","illinois","chicago","chicago","chicago.craigslist.org","wcl","west chicagoland",,"Chicago IL","Illinois",,"(41.878114, -87.629798)"
"CHI","default",,"US","illinois","chicago","chicago","chicago.craigslist.org","sox","south chicagoland",,"Chicago IL","Illinois",,"(41.878114, -87.629798)"
"CHI","default",,"US","illinois","chicago","chicago","chicago.craigslist.org","nwi","northwest indiana",,"Chicago IL","Illinois",,"(41.878114, -87.629798)"
